20121,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20140,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20166,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20191,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20213,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20238,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20263,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20273,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20288,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20307,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20329,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20346,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20358,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20377,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20405,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20413,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20435,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20454,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20473,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20498,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20510,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20529,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20555,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20581,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20600,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20626,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20652,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
20674,"[LBS not moved] count:40969 cur:(28718,40969) [0]:(28718,5692) [1]:(28718,5000)"
22133,"[LBS moved] count:13265 cur:(28692,40969) [0]:(28718,5692) [1]:(28718,5000)"
26306,"[LBS moved] count:20736 cur:(28730,13265) [0]:(28692,40969) [1]:(28718,5000)"
26460,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26486,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26505,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26531,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26557,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26576,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26602,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
26628,"[LBS not moved] count:20736 cur:(28730,20736) [0]:(28730,13265) [1]:(28692,5000)"
